month-year,year,advertiser,brand root,category level 2,category level 3,category level 8,channel,placement,publisher,impressions,spend (usd)
Jul 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Reels,Facebook,7439603,54341.479999999996
Jul 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Facebook,Stories,Facebook,348512,2545.12
Jul 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Feed,Instagram,44264,326.94
Jul 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Reels,Instagram,21474,158.61
Jul 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Instagram,Stories,Instagram,42640,314.95
Jul 2024,2024,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,TikTok,Feed,TikTok,4125535,41744.17
Jul 2024,2024,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Feed,Facebook,38574,279.59
Jul 2024,2024,"Byram Healthcare Centers, Inc.","Byram Healthcare Centers, Inc.",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Reels,Facebook,76420,553.9
Jul 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Desktop Display,Other,citationmachine.net,5221,19.47
Jul 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Desktop Display,Other,thissavoryvegan.com,1063,3.13
Jul 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Feed,Facebook,10626811,79502.51999999999
Jul 2024,2024,"RGH ENTERPRISES, INC. (Edgepark Medical Supplies)","RGH ENTERPRISES, INC. (Edgepark Medical Supplies)",Health & Wellness,Health & Wellness,Health & Wellness,Facebook,Reels,Facebook,928684,6955.1
Jul 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Feed,Facebook,63106427,444302.05
Jul 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Other,Facebook,511842,3543.4300000000003
Jul 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Reels,Facebook,25944086,186719.62
Jul 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Facebook,Stories,Facebook,11163804,77166.59000000001
Jul 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Instagram,Feed,Instagram,18383673,140092.33000000002
Jul 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Instagram,Reels,Instagram,6664342,51613.26
Jul 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,Instagram,Stories,Instagram,41228879,324138.16
Jul 2025,2025,"Aeroflow, Inc.","Aeroflow, Inc.",Shopping,Family & Parenting Shopping,Maternity & Nursing,YouTube,In-Stream,YouTube,2481977,3811.85
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Desktop Display,Other,YouTube,4295,40.6
Jul 2025,2025,"Babylist, Inc","Babylist, Inc",Lifestyle & Services,Lifestyle & Services,Lifestyle & Services,Desktop Display,Other,babycenter.com,488168,2149.02
